楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,s1係数(CB無),s2係数(CB無),s3係数(CB無),s4係数(CB無),s5係数(CB無),s6係数(CB無),s外係数(CB無)
49,3,49_3,1116,141,853.6,44.05,21.477,10.55,23.92,29.79,47.52,717.3,567.146,65,105,180,211,269,326,409,440,589,627,820,860,574,684,43,21.2,10.3,22,28.2,43,685.9
49,4,49_4,1502,141,1268.7,60.672,34.272,47.944,34.388,46.362,47.3,1079.323,829.073,89,147,252,298,419,482,593,638,853,903,1180,1247,832,981,59.2,33.6,45.1,30.5,42.9,41,1016.4
49,5,49_5,1666,141,1548.4,64.59,44.427,68.147,38.453,54.282,73.7,1309.56,997.71,97,157,271,324,453,528,654,709,934,990,1300,1363,912,1077,63,43.4,63.3,34.2,49.8,65,1229.7
50,1,50_1,111,130.90909,98.8,3,3,3,6,5,6.3,72.565,48.6,5,7,13,15,21,23,29,33,44,48,71,78,67,77,3,3,3,6,5,6.3,72.5
50,2,50_2,347,130.90909,278.9,8,10.1,12.221,15.352,8.585,13.77,214.49,160.8,26,33,60,70,102,114,142,158,185,197,258,273,243,276,8,10.1,12.1,15.2,8.5,13.5,211.5
50,3,50_3,631,130.90909,576.4,22,27.472,21.533,27.744,21.527,24.024,446.503,345.786,38,59,116,138,191,211,257,281,316,344,466,485,444,506,22,27.2,21.2,27.2,20.9,23.1,434.8
50,4,50_4,859,130.90909,760.3,27,39.794,35.269,31.96,29.328,32.754,591.803,454.53,70,96,168,199,282,317,371,403,461,498,648,681,620,702,27,39.4,34.4,31,28.2,30.9,569.4
50,5,50_5,986,130.90909,978.1,35.481,58.885,30.179,42.12,40.215,45.368,767.976,575.242,71,109,194,238,337,365,416,456,521,560,737,778,702,798,35.4,57.8,29.3,40.5,38.3,42.4,734.4
51,1,51_1,122,118.26087,101.2,3,3,3,3,7,3.516,78.87,62.7,6,8,14,16,22,24,29,31,51,56,91,107,49,60,3,3,3,3,7,3.5,78.7
51,2,51_2,400,118.26087,299,12.2,10.4,10.504,12.625,21.012,6.798,230.172,188.56,29,42,73,86,113,126,147,172,223,246,326,346,216,255,12.2,10.4,10.4,12.5,19.6,6.6,227.3
51,3,51_3,565,118.26087,511.2,28.4,18.887,25.057,23.562,26.162,10.92,390.646,286.048,39,64,108,132,185,211,250,273,350,385,463,486,343,398,26.4,16.7,22.7,22.1,23.4,9.5,390.4
51,4,51_4,774,118.26087,720.5,36.8,35.956,35.292,32.96,35.935,20.564,547.311,431.791,45,82,145,183,243,280,331,380,482,524,648,677,470,545,34.8,33.6,32.6,31,32.4,17.4,538.7
51,5,51_5,1027,118.26087,967.2,50,43.403,46.041,42.224,47.318,58.644,724.076,570.246,53,97,187,233,316,362,419,462,590,642,824,877,575,677,48,40.7,42.7,38.6,44.8,52.3,700.1
52,1,52_1,103,105.51724,69.9,3,3,3.3,5,4,3,48.612,44.1,5,7,13,15,21,26,44,48,71,83,91,93,43,51,3,3,3.3,5,4,3,48.6
52,2,52_2,243,105.51724,215,8,6,9.3,16.554,13.534,11.22,151.902,136.398,17,24,41,46,65,76,100,119,171,187,205,215,97,120,8,6,9.3,16.4,13.4,11,150.9
52,3,52_3,400,105.51724,385.7,16.2,15.18,22.422,25.5,13.782,19.776,278.659,244.257,34,51,93,108,144,164,211,230,299,314,342,362,205,244,16.2,15.1,22.2,25,13.4,19.2,274.6
52,4,52_4,721,105.51724,647,30.2,29.391,32.794,37.062,23.625,36.464,477.558,414.084,51,82,168,197,267,305,388,423,540,565,617,654,381,452,30.2,29.1,32.1,35.8,22.5,34.4,462.9
52,5,52_5,863,105.51724,799,38.22,34.884,42.642,52.26,29.256,39.911,592.953,521.204,63,102,228,263,345,386,482,523,660,690,752,791,472,557,38.2,34.2,41.4,50,27.6,37.3,570.3
52,6,52_6,703,105.51724,617.2,20.9,27.371,43.044,40.376,41.055,33.759,430.429,349.441,45,72,150,177,251,280,347,378,517,548,592,634,340,409,20.9,27.1,42.2,39.2,39.1,31.9,416.8
54,1,54_1,96,89.73913,71.4,3.3,3.3,3.3,3,8,5.6,44.9,41.9,5,10,20,25,37,42,49,51,64,69,82,92,61,69,3.3,3.3,3.3,3,8,5.6,44.9
54,2,54_2,238,89.73913,163.9,9.4,9.4,7.3,7.032,14.14,8.67,109.229,102.089,10,22,36,48,70,79,90,105,171,182,209,230,167,189,9.4,9.4,7.3,7,14,8.5,108.3
54,3,54_3,403,89.73913,368.5,23.5,21.561,22.422,16.16,26.724,17.098,246.788,225.952,37,64,82,107,137,160,175,199,278,297,351,381,271,310,23.5,21.5,22.2,16,26.2,16.6,242.5
54,4,54_4,564,89.73913,512.4,26.3,24.543,33.723,24.99,40.654,26.73,347.174,319.644,57,85,110,136,186,220,239,267,375,409,486,534,361,417,26.3,24.3,33.2,24.5,39.4,25.6,339.1
54,5,54_5,667,89.73913,662.1,38.481,38.683,35.904,33.166,52.229,35.062,448.191,406.407,79,119,146,186,244,280,302,335,468,503,588,622,452,518,38.3,38.3,35.2,32.2,50.2,33.2,434.7
55,1,55_1,141,109.71429,88.1,3,3,3,3.7,6,3.03,66.6,52.763,5,7,13,15,21,23,28,37,69,74,109,111,67,80,3,3,3,3.7,6,3,66.4
55,2,55_2,281,109.71429,224.4,9,9,9,8.6,14.443,11.22,164.948,135.98,13,21,37,45,63,71,85,98,143,159,220,230,138,163,9,9,9,8.6,14.3,11,163.5
55,3,55_3,449,108,444.2,21,18.2,18.382,18.392,21.522,30.9,323.687,244.323,19,39,76,95,133,152,182,201,258,276,339,368,252,295,21,18.2,18.2,18.2,21.1,30,317.5
55,4,55_4,737,108,703.2,36.3,22.826,35.904,31.724,32.552,41.813,524.885,413.505,35,73,136,163,239,274,323,358,443,473,582,626,433,505,36.3,22.6,35.2,30.8,31.3,39.6,507.4
55,5,55_5,895,108,857.2,42.9,29.251,44.29,39.624,44.31,50.29,642.235,491.425,50,100,184,219,308,349,412,455,558,595,723,769,545,633,42.9,28.8,43,38.1,42.2,47,615.2
57,1,57_1,153,98.18182,97,5,5.4,6,4.7,4.7,8.08,63.501,46.23,5,8,13,30,43,48,60,70,79,89,112,118,109,123,5,5.4,6,4.7,4.7,8,63.2
57,2,57_2,343,98.18182,269.4,17.4,12,7,13.534,13.534,14.758,194.491,152.251,29,45,58,69,88,94,112,128,183,199,290,305,285,318,17.4,12,7,13.4,13.4,14.4,191.8
57,3,57_3,497,98.18182,438.1,24.6,22.539,14.14,25.796,21.726,24.433,313.561,238.567,34,59,88,122,156,169,200,227,273,296,389,413,377,425,24.6,22.4,14,25.3,21.3,23.6,306.9
57,4,57_4,754,98.18182,638.6,31.55,21.917,32.844,34.505,30.68,41.022,468.261,376.761,72,105,138,182,227,260,303,340,423,456,605,645,588,661,31.5,21.7,32.2,33.5,29.5,38.7,451.5
57,5,57_5,940,98.18182,810.5,41.4,28.684,54.264,46.608,50.925,50.781,571.583,454.157,51,93,135,181,240,294,353,407,501,553,763,809,744,837,41.4,28.4,53.2,45.2,48.5,47.4,546.4
60,1,60_1,190,97.73196,96.7,4,4,5,5,9,5.353,64.581,49.33,23,26,29,32,37,41,45,49,75,82,103,128,71,89,4,4,5,5,9,5.3,64.4
60,2,60_2,440,97.73196,209.9,13,13,8.686,8.686,16.32,6.273,146.673,122.682,48,60,73,85,104,126,148,170,246,259,300,333,238,281,13,13,8.6,8.6,16,6.1,144.6
60,3,60_3,541,97.73196,468.8,26.4,26.664,19.453,19.38,28.119,24.44,334.627,273.367,50,79,112,141,187,207,230,248,344,367,436,470,331,384,26.4,26.4,19.2,19,27.3,23.5,327
60,4,60_4,815,97.73196,717.1,43.07,46.662,24.276,37.698,43.06,40.628,506.286,420.873,67,105,146,189,253,283,312,353,487,531,647,703,466,546,43,46.2,23.8,36.6,41.1,38.3,488.1
60,5,60_5,973,97.73196,886.7,53.512,58.144,36.153,36.504,64.448,49.206,626.73,510.696,80,132,181,237,305,358,401,454,602,659,786,844,579,675,53.2,57.2,35.1,35.1,60.8,45.7,599.6
61,1,61_1,204,137.6,110.4,4,4,4.7,6,9.09,4.04,78.955,65.61,12,15,25,28,37,47,79,84,121,134,159,162,77,96,3,3,4.7,6,9,3,81.7
61,2,61_2,361,137.6,290.8,11,11.3,11.504,14.645,16.218,13.26,216.418,173.549,11,18,52,65,100,114,163,180,238,264,278,288,158,192,10,10.3,11.4,13.5,13.9,12,219.7
61,3,61_3,651,137.6,513.4,22.4,17.574,22.44,22.145,21.32,23.1,398.483,330.956,77,98,168,188,245,266,346,371,471,487,520,541,337,400,22.4,17.4,22,20.5,19.5,22,389.6
61,4,61_4,981,137.6,822.7,32.786,30.09,32.136,37.275,40.125,30.592,655.603,539.998,91,124,227,260,366,398,506,544,706,736,793,824,493,591,32.6,27.5,31.2,33.5,35.5,26.4,636
61,5,61_5,1131,137.6,1017.4,37.681,39.27,32.344,46.006,45.09,50.268,817.534,661.374,80,119,253,295,418,449,564,612,784,822,893,939,550,662,37.5,36.5,31.1,41.7,40,44.2,786.4
62,1,62_1,206,81.17647,89.3,5.7,5.1,5.1,8.08,6.969,6.767,52.067,47.709,26,37,48,53,70,75,101,108,147,160,178,189,99,116,5.7,5.1,5.1,8,6.9,6.7,51.8
62,2,62_2,258,81.17647,154.1,8.6,7.1,7.1,11.514,13.466,12.954,94.84,82.906,19,32,46,53,72,79,143,157,193,206,223,239,141,165,8.6,7.1,7.1,11.4,13.3,11.7,94.9
62,3,62_3,491,81.17647,348.4,18.2,22.913,23.028,25.5,26.368,27.56,211.709,181.965,30,58,85,114,133,162,245,287,350,380,413,461,235,282,17.2,22.8,22.8,24,24.6,25.5,211.5
62,4,62_4,647,81.17647,548,37.6,32.926,33.08,36.153,40.21,45.43,338.104,297.168,52,94,126,163,182,219,338,382,471,512,557,607,324,386,36.6,32.6,32.6,34.1,37.6,41.2,333.3
62,5,62_5,767,81.17647,640.4,42.89,38.733,40.086,44.824,43.666,57.77,394.411,352.855,71,119,156,205,230,280,404,456,558,610,664,723,392,466,41.7,36.3,37.3,41.1,39.5,52.3,392.2
63,1,63_1,216,113.68421,116.5,6.8,5.4,5.4,5.405,7.07,5.151,82.067,62.026,9,40,45,62,67,84,88,105,118,124,156,170,114,134,6.8,5.4,5.4,5.4,7,5.1,81.4
63,2,63_2,430,113.68421,290.8,16.2,10,10.075,14.948,16.392,10.094,217.713,160.786,25,42,56,83,94,121,131,161,198,214,312,337,187,229,16.2,10,10,14.8,16.1,9.8,213.9
63,3,63_3,662,113.68421,529.5,30.2,16.968,15.756,21.93,26.927,21.015,410.652,299.111,57,86,117,140,169,189,212,237,285,311,492,529,271,336,30.2,16.8,15.6,21.5,26.3,20.1,399
63,4,63_4,889,113.68421,781.4,41.08,25.755,26.112,37.359,44.18,25.23,611.552,443.121,70,108,155,193,227,266,298,336,400,442,656,702,381,466,41,25.5,25.6,36.3,42.5,23.8,586.7
63,5,63_5,1029,113.68421,917.6,47.28,28.87,40.883,44.609,52.869,28.452,717.298,525.592,83,127,184,224,263,311,347,401,496,546,795,832,471,573,47,28.4,40,43.3,50.4,26.4,682.1
64,1,64_1,251,131.5736,136.1,6,5.7,5,8.04,9.09,5.555,97.44,76.17,33,37,49,60,75,79,97,104,119,126,139,166,95,119,6,5.7,5,8,9,5.5,96.9
64,2,64_2,503,131.5736,375.3,12,14.14,15.453,23.664,22.63,12.154,282.252,225.724,57,67,121,133,163,180,225,249,299,319,365,397,220,269,12,14,15.3,23.2,22,11.8,277
64,3,64_3,694,131.5736,545.2,28.28,23.768,24.276,23.69,30.16,16.38,412.226,361.329,105,122,192,217,267,294,356,377,440,466,515,579,350,417,28,23.4,23.8,23,29,15.6,402.4
64,4,64_4,955,131.5736,796.9,30.3,38.76,34.979,37.275,46.746,29.318,611.272,520.984,128,151,253,289,369,407,512,550,645,683,753,798,502,596,30,38,33.9,35.5,44.1,27.4,588
64,5,64_5,1190,131.5736,1098.2,48.54,47.689,49.554,48.614,62.856,48.57,850.45,719.62,165,205,346,393,491,537,668,718,845,900,998,1053,656,775,48,46.3,47.3,45.7,58.2,44.2,808.5
64,6,64_6,1553,131.5736,1329.4,75.11,24.024,63.055,56.808,71.39,49.94,1072.964,854.724,176,226,410,458,552,609,806,892,1093,1155,1295,1365,787,940,74,23.1,59.9,52.6,64.9,45.4,1009.5
66,1,66_1,104,144,72.7,2,2.7,2,2,2,4.3,57.722,40.2,3,4,16,24,34,35,50,51,59,60,76,82,74,83,2,2.7,2,2,2,4.3,57.7
66,2,66_2,271,144,240.6,7,7.2,8,8.221,8.282,12.12,191.885,128.635,5,11,44,52,62,69,94,103,121,130,189,200,183,209,7,7.2,8,8.2,8.2,12,190
66,3,66_3,501,144,438,12.4,18.532,18.584,16.626,24.48,17.716,338.589,246.425,15,30,94,115,134,155,217,235,267,290,382,400,373,422,12.4,18.4,18.4,16.3,24,17.2,331.3
66,4,66_4,690,144,644.9,18.4,22.422,26.361,29.886,29.87,31.5,505.682,354.308,16,37,119,140,165,190,268,299,341,369,509,538,494,562,18.4,22.2,26.1,29.3,29,30,489.9
66,5,66_5,851,144,792.9,22.6,27.573,28.662,36.359,38.48,34.98,634.676,424.819,19,46,144,171,203,230,328,365,411,447,620,652,602,684,22.6,27.3,28.1,35.3,37,33,609.6
67,1,67_1,112,102,72.8,3,3,3,3,5.1,6,49.739,41.5,5,7,9,11,13,15,18,20,45,59,87,92,43,52,3,3,3,3,4.1,5,51.7
67,2,67_2,291,102,233.3,10.3,10.3,9.3,8.6,17.776,23.052,156.388,132.214,17,29,35,47,53,64,75,88,137,159,232,259,131,159,9.3,9.3,8.3,7.6,16.6,20.6,161.6
67,3,67_3,443,102,359.3,17.6,17.6,21.18,20.604,19.584,21.939,247.196,204.402,27,49,62,84,98,118,137,160,257,277,367,390,249,291,16.6,16.6,20,18.4,18.2,20.3,249.2
67,4,67_4,614,102,490.6,28.7,27.843,27.573,26.988,25.235,32.445,334.981,264.605,34,67,84,117,135,164,195,225,360,388,501,539,348,409,27.7,26.7,26.3,25.5,23.5,29.9,331
67,5,67_5,829,102,656.1,32,31.31,36.39,39.372,39.466,33.459,467.476,384.965,43,82,106,145,171,214,257,300,460,505,662,715,446,528,30,29,33.9,36.6,35.9,29.5,461.2
68,1,68_1,157,97.26316,106.2,4,4.7,5.4,4.7,7,8.08,72.75,55.984,9,12,17,27,39,56,68,78,89,95,129,134,87,101,4,4.7,5.4,4.7,7,8,72.4
68,2,68_2,407,97.26316,251.8,12.8,10.6,12.875,10.706,11.645,15.8,180.965,129.308,21,40,61,76,93,112,129,144,179,203,294,319,175,212,12.8,10.6,12.8,10.6,11.5,15.4,178.1
68,3,68_3,719,97.26316,512.8,26.6,27.876,30.192,29.351,23.84,42.698,347.549,266.86,57,96,137,177,210,243,286,326,393,422,557,608,387,456,26.6,27.6,29.6,28.6,23,40.6,336.8
68,4,68_4,927,97.26316,745.7,39.924,34.27,46.778,38.234,48.195,44.94,523.581,397.626,71,116,165,213,258,308,359,403,503,554,732,783,491,583,39.8,33.9,45.8,37.1,45.9,42,501.2
68,5,68_5,1057,97.26316,876.3,47.106,42.105,51.977,43.828,53.79,51.84,626.604,476.006,85,136,187,239,288,341,396,447,565,631,841,898,549,653,46.8,41.4,50.6,42.2,51,48,596.3
69,1,69_1,108,120.94488,84.3,3,3,3,4.7,7,3,60.635,57.1,9,11,16,18,28,30,44,54,81,86,97,99,42,50,3,3,3,4.7,7,3,60.6
69,2,69_2,377,120.94488,330.6,13.1,11.1,15.352,11.73,24.756,15.656,243.473,225.757,33,46,68,79,127,143,212,227,288,309,340,356,200,237,13.1,11.1,15.2,11.5,24.2,15.2,240.3
69,3,69_3,669,120.94488,600.2,22.9,23.533,25.714,24.128,39.69,26.354,455.322,419.792,65,95,147,172,275,301,413,437,528,565,597,629,404,469,22.9,23.3,25.2,23.2,37.8,24.9,442.9
69,4,69_4,863,120.94488,820.4,28.15,30.401,39.346,40.425,50.361,35.51,627.645,582.275,89,115,162,191,325,364,518,560,691,736,788,820,502,587,28,30.1,38.2,38.5,47.2,33,605.4
69,5,69_5,1040,120.94488,954.2,44.541,35.802,43.68,43.258,53.136,44.908,733.81,683.17,110,152,226,260,420,470,654,701,850,894,949,991,639,743,44.1,35.1,42,40.8,49.2,41.2,701.8
70,1,70_1,167,114.85714,88.9,3.7,3,3,3.7,6.06,3.03,66.811,61.256,3,12,32,34,42,44,59,68,101,106,154,156,100,114,3.7,3,3,3.7,6,3,66.5
70,2,70_2,397,114.85714,232.8,7,8.7,10,9.595,14.178,9.373,177.309,162.683,5,11,24,47,88,97,137,159,232,253,345,363,229,267,7,8.7,10,9.5,13.9,9.1,174.6
70,3,70_3,595,114.85714,416.8,14.2,17.79,20.604,24.888,32.455,13.125,304.2,286.14,18,42,86,109,165,188,253,280,372,401,523,548,366,423,14.2,17.7,20.4,24.4,31.5,12.5,296.1
70,4,70_4,934,114.85714,638.8,30.6,22.22,31.584,28.08,43.672,23.76,486.118,451.551,30,74,134,173,287,324,420,455,618,657,808,847,611,702,30.6,22,30.8,27,41.2,22,465.2
70,5,70_5,959,114.85714,815.1,35.5,32.623,36.35,37.024,50.774,38.232,620.861,559.629,32,80,138,181,275,323,422,462,617,660,833,880,609,704,35.5,32.3,35.5,35.6,47.9,35.4,592.9
71,1,71_1,168,120.86331,102.7,3,4.3,7,7.353,6.363,5.05,70.062,64.002,9,11,17,32,74,79,100,108,129,137,157,161,70,85,3,4.3,7,7.3,6.3,5,69.8
71,2,71_2,316,120.86331,264.1,12.1,6.3,18.18,19.412,8.364,7.446,195.169,172.29,23,35,61,69,116,133,182,202,224,233,281,290,107,137,12.1,6.3,18,19.2,8.2,7.3,193
71,3,71_3,583,120.86331,505.6,19.551,20.402,26.826,25.956,16.586,24.57,383.999,341.789,83,106,146,167,262,284,335,355,392,416,513,539,250,307,19.5,20.2,26.3,25.2,16,23.4,375
71,4,71_4,854,120.86331,758.4,31.21,33.326,41.921,44.653,36.204,37.878,561.845,485.139,91,121,188,227,355,393,478,515,582,627,742,780,330,415,31,32.8,40.7,42.8,34.3,35.4,541.4
71,5,71_5,861,120.86331,807.9,44.39,29.376,45.876,53.655,34.344,33.598,597.868,531.792,96,139,214,267,390,431,532,575,629,664,762,796,363,449,44,28.8,44.2,51.1,32.4,31.4,576
72,1,72_1,157,91.57895,74.3,4,4,4.8,6.8,6.06,3.03,45.802,41.257,5,8,12,15,20,31,59,72,109,114,118,120,57,71,4,4,4.8,6.8,6,3,45.7
72,2,72_2,361,91.57895,206.3,10,13.9,13.55,16.16,15.3,17.068,122.594,117.949,13,22,34,53,88,105,145,186,270,284,298,324,140,173,10,13.9,13.5,16,15,16.6,121.3
72,3,72_3,511,91.57895,444.8,22.5,24.712,22.624,49.776,28.311,33.696,272.074,267.374,25,51,86,119,155,177,239,274,394,415,449,474,225,276,22.5,24.5,22.4,48.8,27.3,32.4,266.9
72,4,72_4,696,91.57895,594.3,34.8,38.077,32.64,43.149,40.425,41.87,380.988,376.218,48,89,146,181,241,288,385,417,540,572,628,659,370,438,34.8,37.7,32,41.6,38.5,39.5,370.2
72,5,72_5,873,91.57895,785.6,43.23,45.147,38.701,71.76,59.572,65.377,490.048,478.158,59,103,161,199,264,307,405,454,646,693,758,799,387,473,43.2,44.7,37.9,69,56.2,61.1,473.5
73,1,73_1,139,112.5,79.1,3,3.7,3,3,6.858,3.03,56.788,50.728,23,25,36,45,50,52,57,59,100,113,132,134,98,109,3,3.7,3,3,6.8,3,56.6
73,2,73_2,266,112.5,208.4,10,8.6,8.6,8.383,16.18,9.486,149.04,135.474,28,37,50,63,83,96,109,119,191,202,240,251,186,211,10,8.6,8.6,8.3,16,9.3,147.6
73,3,73_3,517,112.5,453.1,19.4,22.624,22.645,24.072,24.048,21.216,328.92,296.072,67,87,134,157,192,212,249,277,397,417,467,488,390,440,19.4,22.4,22.3,23.6,23.2,20.4,321.8
73,4,73_4,702,112.5,630.3,30.451,33.936,34.272,30.385,31.08,33.284,456.344,416.66,97,126,164,200,258,292,342,375,526,556,633,665,515,584,30.2,33.6,33.6,29.5,29.6,31.4,442.4
73,5,73_5,841,112.5,755.3,39.491,39.149,48.3,34.154,42.718,33.277,545.034,507.062,109,145,188,227,293,333,393,433,608,646,744,791,594,677,39.1,38.5,47,32.9,40.3,31.1,526.4
74,1,74_1,74,74.54545,64.1,3,5,5,3,3.1,6,39,18.3,2,4,7,9,11,13,16,18,26,29,45,50,43,49,3,5,5,3,3.1,6,39
74,2,74_2,171,74.54545,159.9,10,8,9,8,13.4,10.302,101.901,52.512,3,12,16,23,27,34,39,46,56,70,107,118,101,117,9,8,9,7,13.4,10.2,103.3
74,3,74_3,356,74.54545,278,15.7,18.9,17.785,19.998,14.039,22.848,172.587,101.507,7,28,46,72,90,113,126,152,169,190,254,277,244,277,15.7,17.9,17.7,18.8,12.9,22.4,172.6
74,4,74_4,544,74.54545,436.3,28.8,29.6,31.714,32.272,27.336,46.062,250.562,158.318,9,44,65,99,121,155,181,219,249,291,400,440,379,432,27.8,28.6,30.4,30.8,24.8,40.3,253.6
74,5,74_5,589,74.54545,527.8,36.2,32.732,35.754,41.412,35.424,45.136,314.582,204.512,14,51,78,124,149,196,224,269,293,339,443,481,430,487,35.2,30.6,33.4,38.6,32.4,39.4,318.2
75,1,75_1,119,100,71.4,3,3,3,3.3,6.6,3,49.573,41.1,1,3,7,9,13,15,19,24,65,76,95,97,63,72,3,3,3,3.3,5.6,3,50.5
75,2,75_2,287,100,236.8,12.2,11,12.1,11.014,14.14,18.36,160.294,135.508,8,20,35,44,60,71,86,105,184,197,241,256,179,206,11.2,10,11.1,10,12,17,165.5
75,3,75_3,497,100,417.3,19.4,23.1,17.877,14.342,30.9,33.28,287.104,239.264,9,30,62,82,110,132,164,188,302,336,422,449,290,338,18.4,22.1,16.7,14.2,29,30,286.9
75,4,75_4,737,100,646.6,35,37.027,33.078,25.798,44.896,42.612,449.265,384.049,11,44,98,138,194,228,278,312,461,509,626,663,445,517,34,34.7,31.5,24.2,41.1,39.2,441.9
75,5,75_5,833,100,806.5,43.4,47.571,38.25,33.578,56.795,51.788,565.245,490.861,15,60,123,168,226,265,321,357,500,548,712,761,481,563,41.4,45.1,35.5,30.6,52.1,46.4,555.4
76,1,76_1,143,108.27068,89.2,3,3,3,6,6,5.05,63.319,59.784,16,18,24,26,32,34,60,65,85,90,121,125,58,71,3,3,3,6,6,5,63.2
76,2,76_2,400,108.27068,236.8,10.9,10.3,12.423,13.872,9.64,11.227,172.445,166.883,30,48,78,90,116,130,218,236,286,307,354,372,212,250,10.9,10.3,12.3,13.6,9.4,10.9,169.4
76,3,76_3,549,108.27068,479.8,22.2,19.41,20.604,22.848,25.761,23.138,356.456,337.336,17,40,79,101,138,161,260,285,371,402,482,505,249,303,22.2,19.4,20.4,22.4,25,22.2,348.2
76,4,76_4,735,108.27068,661.7,29.6,27.775,31.824,31.514,32.34,31.376,498.682,473.995,18,51,110,141,204,245,389,422,533,568,663,696,377,449,29.6,27.5,31.2,30.4,30.8,29.6,482.6
76,5,76_5,858,108.27068,801.2,35.9,32.926,39.066,37.44,40.068,37.478,609.279,576.319,26,67,131,168,240,280,444,497,630,670,777,818,428,513,35.9,32.6,38.3,36,37.8,34.9,585.7
77,1,77_1,127,105,87.8,4,4,4,4,4.2,8,59.645,36.2,9,12,17,20,25,28,33,36,40,45,67,73,63,74,4,4,4,4,4.2,8,59.6
77,2,77_2,343,105,268,11,13,8.181,8.181,10.817,21.42,198.811,129.125,29,39,68,78,102,119,148,165,185,201,242,261,228,261,11,13,8.1,8.1,10.7,21,196.1
77,3,77_3,519,105,455,15.6,19.796,17.918,19.074,22.962,24.281,345.521,226.235,58,78,114,138,182,205,242,265,292,315,377,413,357,407,15.6,19.6,17.7,18.7,22.4,23.5,337.5
77,4,77_4,789,105,689.8,28.853,35.916,26.431,27.656,28.704,31.604,535.481,347.085,84,118,192,229,285,316,376,407,457,488,576,614,553,630,28.7,35.3,25.8,26.8,27.6,30,515.6
77,5,77_5,960,105,843.7,39.694,36.72,35.947,36.296,36.96,43.808,649.793,433.877,91,142,208,252,311,352,418,459,511,564,668,719,636,731,39.4,36,34.9,34.9,35.2,41.2,622.1
78,1,78_1,278,106.36364,115,4,4,6.464,9.09,9.09,4.478,78.715,68.811,27,30,35,38,101,119,153,160,181,188,200,225,97,124,4,4,6.4,9,9,4.4,78.2
78,2,78_2,472,106.36364,284.6,13.6,15.2,14.746,19.38,19.055,5.253,201.444,191.475,32,50,69,85,177,196,277,295,321,343,361,393,165,211,13.6,15.2,14.6,19,18.5,5.1,198.6
78,3,78_3,711,105,451.5,32.3,28.785,23.175,28.6,28.48,4.83,316.911,300.784,77,107,131,162,322,348,433,460,493,530,558,594,308,378,32.2,28.5,22.5,27.5,27.2,4.6,309
78,4,78_4,951,105,705.7,43.38,43.966,32.032,53.002,35.43,12.877,510.225,486.376,74,115,159,204,406,443,580,623,681,724,772,810,381,473,43.2,43.5,30.8,50.2,33.3,12,492.7
78,5,78_5,1092,105,889.6,60.662,52.024,40.215,56.71,48.276,20.492,650.622,610.71,65,122,183,242,507,556,701,749,819,876,926,978,476,584,60.4,51.2,38.3,53,44.7,18.8,623.2
81,1,81_1,184,136.61538,111.5,3,3.5,3,3.5,7.33,6.06,85.728,56.539,5,7,13,20,35,37,61,68,95,103,132,137,130,147,3,3.5,3,3.5,7.3,6,85.2
81,2,81_2,424,136.61538,297.8,8.3,11.4,11.151,8.08,16.422,13.31,233.646,172.197,17,27,51,65,95,106,149,165,205,220,293,305,288,327,8.3,11.4,11.1,8,16.1,13,229.9
81,3,81_3,851,136.61538,692.5,24.6,27.068,28.56,18.477,28.288,21.412,571.304,413.48,51,87,156,189,250,284,393,417,470,495,647,668,637,721,24.6,26.8,28,17.8,27.2,20.2,547.9
81,4,81_4,1165,136.61538,983.2,35.561,37.23,38.831,34.02,40.598,40.068,807.732,607.646,70,126,212,251,329,379,515,550,625,661,859,896,845,960,35.4,36.5,37.7,32.4,38.3,37.1,765.8
81,5,81_5,1311,136.61538,1252.3,46.851,42.432,56.813,41.631,51.484,51.759,1035.797,717.327,65,115,221,266,353,406,562,606,694,739,984,1032,966,1096,46.7,41.6,55.1,39.6,48.2,46.2,974.9
82,1,82_1,134,116.25,77,3,3.1,3.5,4,3,3.03,57.561,43.926,9,11,30,33,37,44,63,66,74,76,108,110,61,73,3,3.1,3.5,4,3,3,57.4
82,2,82_2,341,116.25,256.8,11,6,8.828,14.14,13.19,14.28,192.467,142.117,38,48,77,82,95,110,154,167,194,206,277,290,146,179,11,6,8.8,14,13,14,190
82,3,82_3,593,116.25,513.2,28.54,15.756,20.084,21.012,20.261,26.627,392.86,315.56,74,104,153,171,200,223,303,335,386,410,464,503,288,346,28.5,15.6,19.7,20.4,19.6,25.6,383.8
82,4,82_4,804,116.25,735.4,35.855,31.314,29.882,36.088,32.55,37.22,558.381,460.834,102,137,212,247,291,327,451,491,565,591,678,712,418,497,35.5,30.7,29.1,34.7,31,35,539.4
82,5,82_5,1016,116.25,1013.3,48.48,40.582,44.7,45.807,60.562,50.82,770.51,642.978,142,194,305,346,399,439,591,636,731,777,860,906,558,659,48,39.4,43,43.3,56.6,47,736
83,1,83_1,137,132.57143,91.3,3,3,3.1,5,5.1,5.555,66.735,55.423,5,7,11,13,24,27,46,50,67,72,105,114,65,77,3,3,3.1,5,5.1,5.5,66.6
